W76042014,2,SW,9/12/2014,201405284,8/12/2014 9:00,1,Infront The Marq Condo,Paterson Road,2,2,1,1,8,33,3,3,5,86,61,0,1,0,N,Y,N,N,Y,T/4094,14,R,SBS8312Z - No damaged ( BMRG ) Cam Onboard,I was driving my bus at the 1st left inner lane of Paterson Rd following behind an unknown white car going up the slope. I was heading twds b/stop 4.6 KM. Said white car make a sudden stopped infront of Marq Condo on seeing I applied e-brake to avoid collision with said car when I heard paxs onboard shouted I looked behind could not see anyone later I noticed a Citycab was infront of said car. so I left my seat to check who had fallen down & saw a pax female Japanese was seated  I approached her & another pax female chinese informed me her righttside forehead had a cut. I asked them whether they need medical attention both declined medical attention. For safely I moved off & then stopped at b/stop to inform WOCC but Comm no responedI then cont svc.,,,JRADAA01,9/12/2014 14:04,SFALPR04,10/12/2014 11:58,,Y,758
E72812014,2,SE,24/11/2014,201405458,24/11/2014 06:24,1,At 713 b/stop,"Bedok Reservoir Rd,",3,1,1,1,3,33,2,1,5,70,54,0,0,0,N,Y,Y,N,N,,21,R,"SBS6317Z, Left v/mirror damaged (BDRG) Cam onboard",During incident period I intend to depart my bus from the said b/stop when my bus left v/mirror sideswipe with a m/bus (SBS8322U svc 21) resulted my bus left v/mirror damaged. No one was injured. Svc 228 awaits after consulted CRS. There was no damage to the said bus. My bus was escorted back to depot. Thats all.,,,AMOPPR10,24/11/2014 11:45,SFALIO02,22/12/2014 07:57,,Y,314
E73122014,2,SE,25/11/2014,201405458,24/11/2014 06:30,1,BEDOK RESERVOIR RD BUS STOP,BEDOK RESERVOIR RD,3,1,1,1,1,42,4,2,5,70,54,0,0,0,N,Y,Y,N,N,,21,R,SBS8322U RIGHT SIDE REAR SIGNAL LIGHT DAMAGE(PRRG) CAM ON BOARD ATTENDED S&S ON SERVICE,I stopped at a bus stop along Bedok Reservoir road when another bus (SBS6317Z) side swipe my bus during overtaking. No injury. That s all.,,,EDSFOF02,25/11/2014 15:30,SFALIO02,22/12/2014 07:57,,Y,138
W79212014,2,SW,24/12/2014,201405534,23/12/2014 17:56,2,Bus Bay 8.1 KM - Blk 705,Pioneer Rd North,1,1,1,1,7,33,1,3,5,70,54,0,0,0,N,Y,N,N,N,,25,R,"SBS3134D - Right front v/m assy drop, bc side window glass broken, corner bumper drop, corner body panel scratched (BLRG ) Cam Onboard",At bus bay 8.1 KM along Pioneer Rd Nth I saw a TI 1128 was standing control buses moving into b/stop due to infront of b/stop at 1st left the road was blocked due to pruning of tree branches. I then swerved into said b/bay for paxs activities. Aft paxs activities I then swerved out from said b/stop to 1st left lane & then to the ctr lane at that moment I did not noticed any oncoming m/veh at 1st right lane. My bus was fully at ctr lane but at a slanting position when suddenly I heard sound came from the right front of my bus I saw a brown lorry XD6538X was at on my right driving at fast speed had its left front portion hit onto the right front v/m of my bus. WOCC informed transfer paxs & wait for CRS. Aft CRS attended to my bus I thenRTD to SLBP.,,,JRADAA01,24/12/2014 13:48,SFALIO05,29/12/2014 11:13,,Y,756
W79402014,2,SW,26/12/2014,201405585,20/12/2014 01:10,2,HGBP pump island 3,hougang bus park,3,1,1,1,22,39,3,1,5,70,54,0,0,0,N,Y,Y,N,N,,14,R,"sbs6616K - nearside rear door, side window glass scratches, HCRG, cctv sbs6088J,svc27,OS front v/mirror damaged, HCRG",I was queueing at pump island 3 waiting for refueling. SBS6088J queueing beside my bus. While moving forward accidentally the OS v/mirror grazed against the NS rear door and side window glass of my bus causing damage. No injury. That is all,,bc reported to Rg on 22/12,WDSSOF01,26/12/2014 11:42,SFALPR04,30/12/2014 13:35,,Y,240
W79482014,2,SW,26/12/2014,201405585,20/12/2014 01:10,2,HGBP pump island 3,hougang bus park,3,1,1,1,21,39,3,1,5,70,54,0,0,0,N,Y,Y,N,N,,14,R,"sbs6088J- OS v/mirror damaged, HCRG, cctv sbs6616K,svc112,NS rear door, side window glass scratches,w/7940/2014",I was queueing at the pump island waiting for refuelling. SBS6616K was beside my bus and when it was moving forward accidentally grazed my bus. Damage to both buses. That is all,,bc reported to Rg on 22/12/2014. District rcvd report on 24/12,WDSSOF01,26/12/2014 14:15,SFALPR04,30/12/2014 13:35,,Y,177
E00702015,2,SE,6/1/2015,201500100,3/1/2015 0:30,2,Aft Aljunied Station,Sims Ave,1,1,1,1,18,26,2,3,1,70,51,0,0,0,N,Y,Y,N,Y,NP168,21,R,"SBS8663K, Left rear damaged",I was driving bus svc 21 along Sims Ave and was at the said b/stop heading towards Pasir Ris. After driving pass the said b/stop there was a small road on the left and car (SKE4145H) was inching out.As I was driving pass the small rd I felt an impact on the rear left of my bus. I immediately stopped as I saw that the said car knocked my bus. I then saw the said car moved out the small road and I thought that he would be stopping in frontof my bus but instead it went on staright. I went to check on my bus and then saw the said car plate number on the floor. My bus sustained scratches on the rear. Thats all.,,,amoppr10,6/1/2015 12:26,,6/1/2015 12:26,,N,613
W00612015,2,SW,6/1/2015,201500120,5/1/2015 19:00,2,bukit timah road twds kampong java road,bukit timah road,1,1,1,1,10,21,1,1,1,70,54,0,0,0,N,Y,Y,N,N,,21,R,"sbs6735A - battery box cover corner edge dented slightly, advert sticker scratch from rhs middle body portion till tyre 2, side signal light",I was in the bus lane proceeding to turn right into kampong java road. I change to the right lane. I then want to change to the next right lane as I need to turn right. A white/car not giving me way wanted to go straight ahead so I stopped and giveway. I gave way to 02 cars. I then enter into the lane.Suddenly a black van from behind of a car that was on my right overtake said car from the left and it collided into my bus. Said van collided into both my bus and the car. Car is a silver MercCar is a silver MercSJU7956S. Van is of black GBB4227C. I stopped slowly ahead. I call OCC. No injuries to pax. I then alighted to exchange particulars. I then report back to OCC. MTI activated. I moved my bus to the KK hosp bstTP arrived at scene.I moved my bus to the KK hosp bstop. CRS arrived. I was t,,,wdssof01,6/1/2015 11:16,,6/1/2015 11:16,,N,800
E01062015,2,SE,7/1/2015,201500168,5/1/2015 16:03,2,Opp Sch Of Science & Tech,C'wealth Ave West,1,1,1,1,5,33,2,3,6,70,54,0,0,0,N,Y,Y,N,N,,21,R,"SBS2836T, Right front bumper damaged",During incident period I intend to depart my bus (166) out from the said  b/stop when a m/taxi (SHB4769J) encroach my lane from my right and grazed my bus. Bus RTI to CLI to be assessed by ARM after consulted CRS and exchanged particulars withNo one was injured and we exchanged our particulars. Bus RTI to CLI to be assessed by ARM after consulted CRS. Thats all.,,,amoppr10,7/1/2015 12:22,amoppr10,7/1/2015 12:27,,N,364
W00352015,2,SW,5/1/2015,201500176,4/1/2015 16:58,2,Jurong West Ave 4 X Jln Boon Lay,Jurong West Ave 4,1,1,1,1,3,27,3,3,1,70,57,0,0,0,N,Y,N,N,N,,26,R,SBS8942E - Rear bumper no damaged ( BLRG ),I was driving my bus at the 2nd right lane of JR West Ave 4 heading to infront controlled x-junct of Jln Boon Lay. It was green light & when I saw green light had turned into amber light I then braked to stop my bus but my bus front portion had stopat the ped crossing on seeing I wanted to reverse my bus. I make a check behind it was clear I then reversed but I wasnt awared there was accident until when I saw a person had alighted I alighted to check & then found out that the rear bumperof my bus had collided onto behind m/car SKQ2421K. I had make a check & confirmed both bus & car had no damaged WOCC informed & exchange particulars & cont my svc.,,,jradaa01,5/1/2015 9:39,,5/1/2015 9:39,,N,655
