201405284,2,SW,8/12/2014 9:00,C,FAF,121,10/12/2014,2,30/01/2015,121,1,,1,Infront The Marq Condo,Paterson Road,2,2,1,1,8,33,3,3,5,86,61,0,2,0,N,Y,N,N,Y,N,N,N,,T/4094,14,SBS8312Z - No damaged ( BMRG ) Cam Onboard,I was driving my bus at the 1st left inner lane of Paterson Rd following behind an unknown white car going up the slope. I was heading twds b/stop 4.6 KM. Said white car make a sudden stopped infront of Marq Condo on seeing I applied e-brake to avoid collision with said car when I heard paxs onboard shouted I looked behind could not see anyone later I noticed a Citycab was infront of said car. so I left my seat to check who had fallen down & saw a pax female Japanese was seated  I approached her & another pax female chinese informed me her righttside forehead had a cut. I asked them whether they need medical attention both declined medical attention. For safely I moved off & then stopped at b/stop to inform WOCC but Comm no responedI then cont svc.,(S)(Y) Pax fell on board,,,W76042014,SFALPR04,10/12/2014 11:58,sfalio02,4/2/2015 11:48
201405458,2,SE,24/11/2014 06:24,I,FAF,118,22/12/2014,2,6/1/2015,118,1,,1,At 713 b/stop,"Bedok Reservoir Rd,",3,1,1,1,3,33,2,1,5,70,54,0,0,0,N,Y,Y,N,N,N,N,N,,,21,"SBS6317Z, Left v/mirror damaged (BDRG) Cam onboard",During incident period I intend to depart my bus from the said b/stop when my bus left v/mirror sideswipe with a m/bus (SBS8322U svc 21) resulted my bus left v/mirror damaged. No one was injured. Svc 228 awaits after consulted CRS. There was no damage to the said bus. My bus was escorted back to depot. Thats all.,(M)(Y): SBS 6317Z sideswipe SBS 8322U,,,E72812014,SFALIO02,22/12/2014 07:57,sfalad02,5/2/2015 12:01
201405534,2,SW,23/12/2014 17:56,Q,NAF,218,29/12/2014,2,5/2/2015,118,1,,2,Bus Bay 8.1 KM - Blk 705,Pioneer Rd North,1,1,1,1,7,33,1,3,5,70,54,0,0,0,N,Y,N,N,N,N,N,N,,,25,"SBS3134D - Right front v/m assy drop, bc side window glass broken, corner bumper drop, corner body panel scratched (BLRG ) Cam Onboard",At bus bay 8.1 KM along Pioneer Rd Nth I saw a TI 1128 was standing control buses moving into b/stop due to infront of b/stop at 1st left the road was blocked due to pruning of tree branches. I then swerved into said b/bay for paxs activities. Aft paxs activities I then swerved out from said b/stop to 1st left lane & then to the ctr lane at that moment I did not noticed any oncoming m/veh at 1st right lane. My bus was fully at ctr lane but at a slanting position when suddenly I heard sound came from the right front of my bus I saw a brown lorry XD6538X was at on my right driving at fast speed had its left front portion hit onto the right front v/m of my bus. WOCC informed transfer paxs & wait for CRS. Aft CRS attended to my bus I thenRTD to SLBP.,(M) (N) : 3P lorry sideswiped bus.,,,W79212014,SFALIO05,29/12/2014 11:13,sfalio05,5/2/2015 11:12
201405585,2,SW,20/12/2014 01:10,M,FAF,118,30/12/2014,2,10/2/2015,118,1,,2,HGBP pump island 3,hougang bus park,3,1,1,1,22,39,3,1,5,70,54,0,0,0,N,Y,Y,N,N,N,N,N,,,14,"sbs6616K - nearside rear door, side window glass scratches, HCRG, cctv sbs6088J,svc27,OS front v/mirror damaged, HCRG",I was queueing at pump island 3 waiting for refueling. SBS6088J queueing beside my bus. While moving forward accidentally the OS v/mirror grazed against the NS rear door and side window glass of my bus causing damage. No injury. That is all,(N)(Y) SBS6616K collided onto SBS6088J,bc reported to Rg on 22/12,,W79402014,SFALPR04,30/12/2014 13:35,sfalpr04,10/2/2015 12:24
201500100,2,SE,3/1/2015 0:30,I,NAF,204,8/1/2015,1,14/01/2015,204,1,,2,Aft Aljunied Station,Sims Ave,1,1,1,1,18,26,2,3,1,70,51,0,0,0,N,Y,Y,N,Y,N,N,N,,NP168,21,"SBS8663K, Left rear damaged",I was driving bus svc 21 along Sims Ave and was at the said b/stop heading towards Pasir Ris. After driving pass the said b/stop there was a small road on the left and car (SKE4145H) was inching out.As I was driving pass the small rd I felt an impact on the rear left of my bus. I immediately stopped as I saw that the said car knocked my bus. I then saw the said car moved out the small road and I thought that he would be stopping in frontof my bus but instead it went on staright. I went to check on my bus and then saw the said car plate number on the floor. My bus sustained scratches on the rear. Thats all.,(M)(N): 3P car exited minor road and hit bus.,,,E00702015,sfalio02,8/1/2015 8:23,sfalad02,4/2/2015 17:29
201500120,2,SW,5/1/2015 19:00,Q,NAF,218,8/1/2015,1,28/01/2015,218,1,,2,bukit timah road twds kampong java road,bukit timah road,1,1,1,1,10,21,1,1,1,70,54,0,0,0,N,Y,Y,N,N,N,N,N,,,21,"sbs6735A - battery box cover corner edge dented slightly, advert sticker scratch from rhs middle body portion till tyre 2, side signal light",I was in the bus lane proceeding to turn right into kampong java road. I change to the right lane. I then want to change to the next right lane as I need to turn right. A white/car not giving me way wanted to go straight ahead so I stopped and giveway. I gave way to 02 cars. I then enter into the lane.Suddenly a black van from behind of a car that was on my right overtake said car from the left and it collided into my bus. Said van collided into both my bus and the car. Car is a silver MercCar is a silver MercSJU7956S. Van is of black GBB4227C. I stopped slowly ahead. I call OCC. No injuries to pax. I then alighted to exchange particulars. I then report back to OCC. MTI activated. I moved my bus to the KK hosp bstTP arrived at scene.I moved my bus to the KK hosp bstop. CRS arrived. I was t,"(M)(N): Chain collision between 3P van, bus and 3P car.",,,W00612015,sfalio02,8/1/2015 9:46,sfalio02,6/2/2015 9:39
201500168,2,SE,5/1/2015 16:03,Q,NAF,218,12/1/2015,1,10/2/2015,118,1,,2,Opp Sch Of Science & Tech,C'wealth Ave West,1,1,1,1,5,33,2,3,6,70,54,0,0,0,N,Y,Y,N,N,N,N,N,,,21,"SBS2836T, Right front bumper damaged",During incident period I intend to depart my bus (166) out from the said  b/stop when a m/taxi (SHB4769J) encroach my lane from my right and grazed my bus. Bus RTI to CLI to be assessed by ARM after consulted CRS and exchanged particulars withNo one was injured and we exchanged our particulars. Bus RTI to CLI to be assessed by ARM after consulted CRS. Thats all.,(M)(N): 3P taxi sideswipe bus.,,,E01062015,sfalio02,12/1/2015 8:16,sfalio02,10/2/2015 11:26
201500176,2,SW,4/1/2015 16:58,Q,FAF,112,12/1/2015,3,10/2/2015,112,1,,2,Jurong West Ave 4 X Jln Boon Lay,Jurong West Ave 4,1,1,1,1,3,27,3,3,1,70,75,0,0,0,N,Y,N,N,N,N,N,N,,,26,SBS8942E - Rear bumper no damaged ( BLRG ),I was driving my bus at the 2nd right lane of JR West Ave 4 heading to infront controlled x-junct of Jln Boon Lay. It was green light & when I saw green light had turned into amber light I then braked to stop my bus but my bus front portion had stopat the ped crossing on seeing I wanted to reverse my bus. I make a check behind it was clear I then reversed but I wasnt awared there was accident until when I saw a person had alighted I alighted to check & then found out that the rear bumperof my bus had collided onto behind m/car SKQ2421K. I had make a check & confirmed both bus & car had no damaged WOCC informed & exchange particulars & cont my svc.,(M)(Y) Reversed negligently and collided onto front portion of 3P car,,,W00352015,edbdam04,12/1/2015 8:44,edbdam04,10/2/2015 10:08
201500177,2,SW,4/1/2015 19:00,I,FAF,118,12/1/2015,3,10/2/2015,599,1,,2,Jurong Rd aft Bt Batok Rd,Jurong Road,1,1,1,1,9,42,3,1,5,85,73,0,0,0,N,Y,N,N,N,N,N,N,,,26,SBS3755L - Upp Deck roof top corner panel damaged,Aft paxs activities at bus bay 22.3 KM along JR Rd I then swerved my bus to the right & didnt noticed there was a tree trunk jutting out as a result when I heard sound came from my bus & I thought my bus had grazed against something therefore Idid not stop to check. When I reached BLI aft parking my bus I alighted to check & then saw my bus at the upp deck left top corner panel a tree trunk had stucked onto the bus panel. ARM Loh & WOCC informed.,(M)(Y) Negligently swerved out from bus stop and collided onto a tree trunk,,,W00882015,edbdam04,12/1/2015 8:50,edbdam04,10/2/2015 10:09
201500179,2,SW,2/1/2015 16:39,I,NAF,212,12/1/2015,1,30/01/2015,212,1,,2,paya lebar rd aft B70271,paya lebar rd,1,1,1,1,6,33,2,1,1,70,75,0,0,0,N,Y,Y,N,Y,N,N,N,,t/2015,21,sbs2745Y - front bumper scratches,I was travelling alg Paya Lebar Rd twds Tai Seng. I had just attended to pax act at B70271. I saw a brown car entered into the wrong entrance of the Shell station the car entered into the exit instead. Said car stopped there. I slowed down andmade several horns to give warning in case car reversed. I proceed on. I checkd left mirror and saw said car reversed and its rear portion knocked bus left rear. I stopped and alighted to check. There were scratches and dents. Said car did not stopand left. A pax noted down its reg no and witnesses the accident.no injuries.,(M)(N); Reversing 3P car collided onto SBS 2745Y,bc reported to RG on 07/01. district rcvd report on 09/01,,W02002015,sfalio02,12/1/2015 13:38,sfalad02,4/2/2015 17:29
