"01","6","(Report Date - Accident Date)> day as in Std_code consider LATE","U","HLTAN","25/09/2014 00:00","",""
"10","1","AM SHIFT","U","TSSPROD","03/02/1998 10:18","",""
"10","2","PM SHIFT","U","TSSPROD","03/02/1998 10:18","",""
"10","3","SPLIT SHIFT (S)","U","TSSPROD","03/02/1998 10:18","",""
"10","4","THREE-QUARTER (T)","U","TSSPROD","03/02/1998 10:18","",""
"10","5","SPECIAL","U","TSSPROD","03/02/1998 10:18","",""
"10","6","EMPLOYEE BUS","U","TSSPROD","03/02/1998 10:18","",""
"10","7","CHARTERED BUS","U","TSSPROD","03/02/1998 10:18","",""
"10","8","OTHERS","U","TSSPROD","03/02/1998 10:18","",""
"10","9","SPLIT SHIFT (E)","U","TSSPROD","03/02/1998 10:18","",""
"11","1","CLEAR","U","TSSPROD","03/02/1998 10:18","",""
"11","2","DRIZZLE","U","TSSPROD","03/02/1998 10:18","",""
"11","3","SHOWER","U","TSSPROD","03/02/1998 10:18","",""
"11","4","OTHERS","U","TSSPROD","03/02/1998 10:18","",""
"11","5","HAZE","U","TSSPROD","03/02/1998 10:18","",""
"12","1","DRY","U","TSSPROD","03/02/1998 10:18","",""
"12","2","WET","U","TSSPROD","03/02/1998 10:18","",""
"12","3","MUDDY","U","TSSPROD","03/02/1998 10:18","",""
"12","4","SANDY","U","TSSPROD","03/02/1998 10:18","",""
"12","5","OILY","U","TSSPROD","03/02/1998 10:18","",""
"12","6","OTHERS","U","TSSPROD","03/02/1998 10:18","",""
"12","7","DEBRIS","I","TSSPROD","03/02/1998 10:18","",""
"13","1","START WORK","U","TSSPROD","03/02/1998 10:18","",""
"13","10","WORKED 4HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","11","WORKED 5 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","12","WORKED 5 HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","13","WORKED 6 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","14","WORKED 6 HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","15","WORKED 7 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","16","WORKED 7 HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","17","WORKED 8 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","18","WORKED 8 HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","19","WORKED 9 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","2","WORKED 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","20","WORKED 9 HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","21","WORKED 10 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","22","WORKED 10 HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","23","WORKED 11 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","24","WORKED 11 HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","25","WORKED 12 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","26","WORKED exceeded 12 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","3","WORKED 1 HR","U","TSSPROD","03/02/1998 10:18","",""
"13","4","WORKED 1 HR 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","5","WORKED 2 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","6","WORKED 2 HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","7","WORKED 3 HRS","U","TSSPROD","03/02/1998 10:18","",""
"13","8","WORKED 3 HRS 30 MINS","U","TSSPROD","03/02/1998 10:18","",""
"13","9","WORKED 4 HRS","U","TSSPROD","03/02/1998 10:18","",""
"14","20","LEFT BEND","U","TSSPROD","03/02/1998 10:18","",""
"14","21","RIGHT BEND","U","TSSPROD","03/02/1998 10:18","",""
"14","22","SLIP ROAD","U","TSSPROD","03/02/1998 10:18","",""
"14","23","BRIDGE","U","TSSPROD","03/02/1998 10:18","",""
"14","24","FLYOVER","U","TSSPROD","03/02/1998 10:18","",""
"14","25","CONTROLLED T-JUNCTION","U","TSSPROD","03/02/1998 10:18","",""
"14","26","UNCONTROLLED T-JUNCTION","U","TSSPROD","03/02/1998 10:18","",""
"14","27","CONTROLLED X-JUNCTION","U","TSSPROD","03/02/1998 10:18","",""
"14","28","UNCONTROLLED X-JUNCTION","U","TSSPROD","03/02/1998 10:18","",""
"14","29","CONTROLLED Y-JUNCTION","U","TSSPROD","03/02/1998 10:18","",""
"14","30","UNCONTROLLED Y-JUNCTION","U","TSSPROD","03/02/1998 10:18","",""
"14","31","ROUNDABOUT","U","TSSPROD","03/02/1998 10:18","",""
"14","32","U-TURN","U","TSSPROD","03/02/1998 10:18","",""
"14","33","STRAIGHT ROAD","U","TSSPROD","03/02/1998 10:18","",""
"14","34","ENTRANCE/EXIT OF COMPOUND","U","TSSPROD","03/02/1998 10:18","",""
"14","35","PRIVATE COMPOUND","U","TSSPROD","03/02/1998 10:18","",""
"14","36","DEPOT/SERVICE CENTRE","U","TSSPROD","03/02/1998 10:18","",""
"14","37","INTERCHANGE","U","TSSPROD","03/02/1998 10:18","",""
"14","38","TERMINAL","U","TSSPROD","03/02/1998 10:18","",""
"14","39","BUS PARK","U","TSSPROD","03/02/1998 10:18","",""
"14","40","CAR PARK","U","TSSPROD","03/02/1998 10:18","",""
"14","41","OTHERS","I","TSSPROD","03/02/1998 10:18","",""
"14","42","BUS STOP","U","TSSPROD","03/02/1998 10:18","",""
"14","43","UNDER PASS","U","TSSPROD","03/02/1998 10:18","",""
"14","44","TUNNEL","U","TSSPROD","03/02/1998 10:18","",""
"14","45","DRIVEWAY","U","TSSPROD","03/02/1998 10:18","",""
"14","46","BUS WASHING MACHINE","U","TSSPROD","03/02/1998 10:18","",""
"14","47","BUS WASHING BAY","U","TSSPROD","03/02/1998 10:18","",""
"14","48","REFUELLING POINT/DEMOUNTING POINT","U","TSSPROD","03/02/1998 10:18","",""
"15","1","HEAVY","U","TSSPROD","03/02/1998 10:18","",""
"15","2","MODERATE","U","TSSPROD","03/02/1998 10:18","",""
"15","3","LIGHT","U","TSSPROD","03/02/1998 10:18","",""
"15","4","NO TRAFFIC","U","TSSPROD","03/02/1998 10:18","",""
"16","1","ONE WAY","U","TSSPROD","03/02/1998 10:18","",""
"16","2","TWO WAYS","U","TSSPROD","03/02/1998 10:18","",""
"16","3","DUAL CARRIAGEWAY","U","TSSPROD","03/02/1998 10:18","",""
"17","1","TRAFFIC LIGHT CONTROLLED","U","TSSPROD","03/02/1998 10:18","",""
"17","2","TRAFFIC LIGHT PEDESTRIAN CROSSING","U","TSSPROD","03/02/1998 10:18","",""
"17","3","ZEBRA CROSSING","U","TSSPROD","03/02/1998 10:18","",""
"17","4","TEMP. TRAFFIC LIGHT/BEACON","U","TSSPROD","03/02/1998 10:18","",""
"17","5","UNCONTROLLED","U","TSSPROD","03/02/1998 10:18","",""
"17","6","OTHERS","U","TSSPROD","03/02/1998 10:18","",""
"18","50","HEAD ON","U","TSSPROD","03/02/1998 10:18","",""
"18","51","HEAD TO SIDE","U","TSSPROD","03/02/1998 10:18","",""
"18","52","HEAD TO REAR","U","TSSPROD","03/02/1998 10:18","",""
"18","53","SIDE SWIPE - OPPOSITE DIRECTION","U","TSSPROD","03/02/1998 10:18","",""
"18","54","SIDE SWIPE - SAME DIRECTION","U","TSSPROD","03/02/1998 10:18","",""
"18","55","REAR TO REAR","I","TSSPROD","03/02/1998 10:18","",""
"18","56","REAR TO SIDE","I","TSSPROD","03/02/1998 10:18","",""
"18","57","REAR TO HEAD","U","TSSPROD","03/02/1998 10:18","",""
"18","58","OTHERS","U","TSSPROD","03/02/1998 10:18","",""
"18","59","ROLLED ASTERN/FORWARD","U","TSSPROD","03/02/1998 10:18","",""
