"201301486","02","SE","02/04/2013 13:45","C","NAF","499","15/04/2013","2","07/01/2015","499","1","","1","Near to Blk 556 b/stop","Pasir Ris St 51","2","2","3","1","17","42","2","3","5","86","65","0","1","0","N","Y","N","N","Y","N","N","N","","NP299","21","SBS2811P, No damaged (PRRG) Cam onboard Attended S&S on","I was driving bus svc 359 and had stopped my bus at the said b/stop for pax activities. The bus was very crowded. I then opened the back door. Subsequently someone shouted to close the door. This was when I realised that he was trapped in between the opended doors. I quickly closed the door and reopened it. The pax an Indian boy wearing Pri Sch uniform then go off the bus. I did not take down his particulars. He seemed fine. I am lodging this report for record purpose. Thats all.  *NP299 E/20130411/2041- TPY NPC*","(N)(N): Pax hit by opening ent doors.","2013/Apr/0242 He seemed fine.","","E73272013","SFALIO02","15/04/2013 15:26","sfalad02","07/01/2015 14:37",""
"201402469","02","SW","01/06/2014 23:30","M","FAF","199","11/06/2014","2","06/01/2015","199","1","","2","L 1 No 1 Bus Washing Machine","Soon Lee Bus Park","3","1","1","2","19","47","4","1","5","85","73","0","0","0","N","Y","N","N","N","N","N","N","","","23","SBS6311P - Left rear top CCTV cam drop off  ( BLRG ) Cam Onboard","My bus was at the SLBP No 1 bus washing machine.  And my bus had already finished washing & I wanted to drive out from the bus washing bay at this moment suddenly I heard sound came from the left rear of my bus. And my bus was already 2 m out of said washing bay. I did not stop & straight heading to bus park level 3. Aft I had parked my bus I went to check my bus & saw on the left rear top CCTV camera drop hanging down. I then reported to OO Richard & he followed me to check my bus.  W/shop reported too.","(M)(Y) : Bus hit onto static object at washing bay","","","W38542014","SFALIO04","11/06/2014 12:21","sfalio04","06/01/2015 14:14",""
"201403320","02","SE","29/07/2014 07:56","C","NAF","699","04/08/2014","2","19/01/2015","699","1","","1","AMK AVE 6","AMK AVE 6","1","1","1","1","3","33","1","2","5","83","58","0","0","0","N","Y","Y","N","N","N","N","N","","","14","SBS3353M FRONT WINDSCREEN DAMAGED (YCKRG) CAM ON BOARD ATTENDED S&S ON SERVICE","During 1st parade check I did not noticed any damaged on my bus front  windscreen. While travelling along AMK Ave 6 I suddenly saw my windscreen damaged. At that time traffic was heavy. No injury. That s all.","(N)(N) Bus front w/screen damaged by unknown cause","","","E50012014","SFALPR04","04/08/2014 12:16","sfalio02","19/01/2015 17:02",""
"201403673","02","SE","20/08/2014 20:07","C","NAF","222","23/08/2014","2","09/01/2015","222","1","","2","Blk 32 b/stop","Lorong 6 Toa Payoh","2","2","1","1","10","42","2","3","5","86","65","0","1","0","N","Y","N","N","Y","N","N","N","","NP299","14","SBS8068D, No damaged (TPRG) Cam onboard","When I stopped at the said b/stop for pax activities out of sudden An elderly shouted while she was standing at the front entrance. There were other pax told me that the said elderly hand was injured due to the front entrance door close on her handwhile she was holding onto the pole. The pole is not suppose to be hold by pax. I could not see her as it was very packed but another pax help me to check on her condition. An elderly said that she was alright as the message was conveyed by other pax. After that she then alighted at Braddell Rd. Thats all.   *NP299 F/20140821/2107- AMK North NPC*","(N)(N) Pax injured on board","","","E55232014","SFALPR04","23/08/2014 13:48","sfalad01","09/01/2015 15:36",""
"201403795","02","SW","19/07/2014 14:34","C","NAF","499","02/09/2014","2","19/01/2015","499","1","","2","Bencoolen St bs07509","bencoolen st","2","1","1","1","2","42","3","1","5","86","82","0","0","0","N","Y","Y","N","Y","N","N","N","","","26","sbs3719J - SGRG,","IRef: CFMS 2014/Jul/2379. While I was algihting pax alf bstop infront of SMU I was not informed or stop by any pax informing me that someone was injured. I also did not hear or see anyone fell or got hiy by the bus door. I also did not quarrel withanyone. I made this report to disclaim any liabilities that a F/pax had complaint on me stating that at the moment of her alighting she ahd hit onto the bus door aft she had alighted and me closing the bus door. That is all","(S)(N) Pax alleged hit on the door while alighting","BC reported on 24/08/2014","","W55612014","EDBDAM04","02/09/2014 14:29","sfalio02","19/01/2015 15:26",""
"201403917","02","SW","20/08/2014 09:05","C","NAF","222","09/09/2014","2","16/01/2015","222","1","","1","c'wealth ave mrt bstop","c'wealth ave","2","1","1","1","7","42","2","1","5","86","82","0","0","0","N","Y","Y","N","N","N","N","N","","","14","sbs2703T - HCRG, no cctv","Ref: CFMS2014/Aug/3161 I did not encounter closing door at boarding pax. No one informed me.","(N)(N) Pax alleged hit by door","bc reported on 04/09/2014","","W58392014","SFALPR04","09/09/2014 10:32","edbdam04","16/01/2015 16:53",""
"201403940","02","SW","06/09/2014 23:25","Q","NAF","218","10/09/2014","2","15/01/2015","218","1","","2","Lower Delta Road (aft Jln Merah )","Lower Delta Road","1","1","1","1","22","33","3","3","5","70","54","0","0","0","N","Y","N","N","N","N","N","N","","","26","SBS3797R - Right front panel scratched ( BMRG ) Cam Onboard","I was driving my bus at the 1st left lane Lower Delta Rd and aft crossing the traffic light junct. Jln Bt Merah infront was a merging lane and I was heading twds b/stop 3.2 KM. And aft the merging lane bef said b/stop I was still at my lane when suddenly I heard grazing sound came from the right front of my bus. I saw a black m/car SGT205M was beside my bus had its left rear portion grazed onto the right front portion of my bus. I stopped & alighted to check. WOCC informed exchange particular & cont my svc.","(M) (N) 3P car collided onto offside front portion of bus","","","W58562014","EDBDAM04","10/09/2014 08:16","edbdam04","15/01/2015 16:20",""
"201403941","02","SW","02/09/2014 17:14","Q","FAF","118","10/09/2014","2","12/01/2015","118","1","","2","Svc 242 saw-Tooth Boarding berth","Boon Lay Interchange","1","2","1","1","6","37","2","1","5","70","54","0","1","0","N","Y","N","N","N","N","N","N","","","26","SBS7396M-L/R 2 piece window glass, engine cover, panel, corner bumper damaged ( BLRG ) Cam Onboard SBS8950G - R/F corner w/screen, body, v/m","I was driving my bus along BLI Driveway heading to svc 181 saw-tooth boarding berth & I noticed there was bus SBS8950G svc 242 had stopped at saw-tooth berth boarding paxs activities. On seeing this boarding activities still on I cont & then overtook said bus svc 242 twds my boarding berth & from my left front v/m & I saw said bus slowly filtered to the right as a result had its right front portion hit onto the left rear portion of my bus. I reported to ARM Naren photo taken. Aft mechanic hadchecked my bus I was told to RTD to SLBP.","(M)(Y) Overtook SBS8950G and collided onto it at alighting berth of BLI","","","W57952014","EDBDAM04","10/09/2014 14:42","edbdam04","12/01/2015 14:13",""
"201404011","02","SE","06/09/2014 16:55","I","FAF","118","12/09/2014","2","12/01/2015","118","1","","2","LORONG 6 TOA PAYOH","LORONG 6 TOA PAYOH","3","1","1","1","4","33","2","2","5","70","54","0","0","0","N","Y","N","N","N","N","N","N","","","26","SBS5090H NO DAMAGE (TPRG) CAM ON BOARD ATTENDED S&S ON SERVICE","As I was approaching the traffic light along lorong 6 Toa Payoh wanting to turn right into Toa Payoh Int. my bus side swipe another stationary bus(SBS8886J SVC 59) on my left side. No injury. That s all.","(M)(Y) Collided onto stationary bus","","","E58622014","EDBDAM04","12/09/2014 12:29","edbdam04","12/01/2015 14:14",""
"201404082","02","SW","16/09/2014 06:05","M","NAF","699","18/09/2014","2","19/01/2015","699","1","","3","HG depot, near main gate guard post","hg depot","3","1","1","1","1","36","3","2","1","85","58","0","0","0","N","Y","Y","N","N","N","N","N","","","14","sbs2599C -front w/screen cracked SGRG,cctv","while i was at the main gate waiting for t/light my colleague BC61453 walked passed me. We waved at ea other. He played a joke by pulling the front RHS w/screen wiper upright. I signalled to him to put it back. He released the wiper and I moved off. I did not noticed anyhting unusual and I cont. Aft 2 trips I noticed crackes on the front w/screen. I wish to highlight that the crack may not be caused by my colleague as I did not check aft the morning incident. furthermore svc 100 route has many unknown road debris along the road due to construction sites and road works.","(N)(N) Bus damaged by unknown cause","bc reported on 16/09/2014","","W60482014","SFALPR04","18/09/2014 11:08","sfalpr04","19/01/2015 15:19",""
