"201402933","02","SE","03/07/2014 14:07","C","NAF","218","09/07/2014","2","19/09/2014","218","1","","4","Outram Pk Stn","Outram Rd","1","1","1","1","13","33","1","3","5","70","54","0","0","0","N","Y","N","N","N","","","","","","26","SBS6384D, POI- Right front but no damaged (EURG) Cam onboard Attended S&S on","I was driving bus svc 63 along the said rd. While enter into the said b/stop, discovered there was a m/van (GBA9274M) plying very close to my bus and my bus was being grazed by the said van. Bus resumed service after assessed the bus damage and exchanged particulars with the said driver. There were no damages to the both vehicles. That's all.","(M) (N) 3P van collided onto bus","","","E45642014","EDBDAM04","09/07/2014 10:07","SFALAD02","02/10/2014 16:10",""
"201403233","02","SW","07/07/2014 13:07","I","FAF","112","31/07/2014","2","23/09/2014","118","1","","1","bstop, yishun Ave 2","Yishun Ave 2","3","1","2","2","17","42","3","1","5","70","52","0","0","0","N","Y","Y","N","N","","","","","","26","sbs6248P- front w/screen cracked(SKRG) cctv sbs890Z,svc39,BC74361,TMRG","On a/m date and time, I was driving toward Khatib Station bstop when a SBS890Z infront of me suddenly jammed brake resulting my bus to hit said bus rear. No injuries. I exchanged particulars with BC74361 and informed OCC.that is all","(M) (Y) Collided onto the front bus","BC reported on 10/07/2014","","W46872014","EDBDAM04","31/07/2014 16:07","EDBDAM04","01/10/2014 16:10",""
"201403236","02","SW","08/07/2014 06:07","I","FAF","118","31/07/2014","2","30/09/2014","118","1","","3","Clementi Ave 2","Clementi Ave 2","1","1","3","2","2","33","2","2","5","82","73","0","0","0","N","Y","Y","N","Y","","","","","","26","SBS 8118T      Front left corner body, bumper damaged.        (CLRG) Below rubber damaged. Cam Onboard","On 08/07/2014 at about 06:55 hrs, I was heading to turn right to Clementi Ave 2 from West Coast Road. When I have already turned right and driving along the Clenenti Ave 2, due to the heavy rain and the bus are crowded thus affect my focus and vision resulted my bus accidentally grazed against left side concrete kerb. I thought its a small problem so I continue my service. When I arrived at Clementi Interchange, I went down to checked my bus and found Front left corner body, bumper damaged. I then report the matter to ARM which I don't know his name. He then call the mechanic at Clementi Interchange to check my bus and took photo.  Thereafter ARM instruct me to make district report. That's all","(M) (Y) Grazed kerb","","","W46302014","EDBDAM04","31/07/2014 16:07","EDBDAM04","30/09/2014 11:09",""
"201403238","02","SW","11/07/2014 09:07","C","NAF","599","31/07/2014","2","30/09/2014","599","1","","1","Parkway Parade bstop","Parkway parade","2","1","1","1","7","42","3","3","5","86","82","0","0","0","N","Y","Y","N","N","","","","","","26","sbs2721R - no damage (JERG) no cctv","With reference to CFMS2014/Jul/2311, I wish to deny such incident happened. Furthermore, complainant did not provide bus number. Said complainant also mentioned that it happened at the door. I could not had missed it if a pax head was hit by door because I always check my mirros everytime. I wish to also state that such incident happened for the firt time. Therefore I deny such allegations. furthermore, there is no cctv in my bus. If such thing happened, I would had informed my RM asap.That is all.","(S) (N) Pax alleged head hit by the door","Bc reported on 29/07/2014","","W50072014","EDBDAM04","31/07/2014 16:07","EDBDAM04","30/09/2014 11:09",""
"201403239","02","SE","11/07/2014 09:07","M","FAF","118","31/07/2014","2","30/09/2014","699","1","","3","BRADDELL BUS PARK INGRESS","BRADDELL BUS PARK INGRESS","3","1","1","1","6","39","4","2","5","91","73","0","0","0","N","Y","N","N","N","","","","","","26","SBS5199D NO DAMAGE (TPRG) CAM ON BOARD ATTENDED S&S ON SERVICE","I was entering Braddell bus park. In front of my bus was a taxi. There was a gate barrier. The latter lifted up and then the taxi passed through. I followed behind the taxi and was hit by the gate barrier. No injury. That 's all. ","(M) (Y) Negligently drive thru without waiting for barrier","","","E47452014","EDBDAM04","31/07/2014 16:07","EDBDAM04","30/09/2014 11:09",""
"201403241","02","SE","11/07/2014 13:07","C","NAF","599","31/07/2014","2","30/09/2014","499","1","","1","AMK AVE 3 BUS STOP","AMK AVE 3","2","2","1","1","17","42","4","2","5","70","82","0","1","0","N","Y","N","N","Y","","","","","","26","SBS8117X NO DAMAGED (YCKRG) CAM ON BOARD ATTENDED S&S  ON SERVICE"," As I was about to leave the bus stop along AMK Avenue 3, an old man about 70 yrs old ran to the front doors of my bus and so I opened and let him in. He sat at the back of the bus and after a few minutes, he came to me and said that he wanted to complain me for failing to see him coming and closed the doors before he came up the bus. No injury. That 's all. /*F/20140716/2097*/ /*CFMS : 2014/JUL/1566*/ ","(S)(N) Pax alleged hit by closing door","","","E47722014","EDBDAM04","31/07/2014 16:07","EDBDAM04","30/09/2014 11:09",""
"201403242","02","SW","11/07/2014 18:07","Q","FAF","118","31/07/2014","2","30/09/2014","118","1","","2","b/stop 7.3 KM - Tao Nan Sch","Marine Parade Rd","1","1","1","1","11","42","1","3","1","70","52","0","0","0","N","Y","N","N","N","","","","","","26","SBS2727A - Front left corner bumper paint scratched ( CLRG )  No Cam","Aft paxs activities at kerbside b/stop 7.3 KM along Marine Parade Rd, I moved & then swerved to the right twds yellow box junct, when a m/car SFM7194M came from my right entered into yellow box junct & then cut into my path & then make a stopped, as a result my bus front left bumper collided into the rear left bumper of said car. I alighted to check. WOCC informed & exchange particulars & cont my svc. On 14/7, Master Ong awared but my master did not advised me to file TAC.","(M) (Y) Collided onto rear of 3P car","Hwee Huang email dd 150714  On 14/7-16/7 I am regular PM shift duty  & had no time to file TAC.","","W47952014","EDBDAM04","31/07/2014 16:07","EDBDAM04","30/09/2014 11:09",""
"201403245","02","SE","15/07/2014 09:07","I","FAF","118","31/07/2014","2","01/10/2014","118","1","","1","Aft Lrg 1 Geylang b/stop","Sims Ave","3","1","1","1","9","42","2","3","5","70","52","0","0","0","N","Y","N","N","N","","","","","","26","SBS3721J, POI- left v/mirror but no damaged (PRRG) Cam onboard  Attended S&S on","During incident period, I had stopped behind a m/bus (SBS6601C, svc 33) at the said b/stop when the front bus inch forwards and I follow suits swerve my bus to the right. At this juncture, my bus left v/mirror collided onto the said bus resulted it rear w/screen damaged. No one was injured. The driver did not know that I had collided onto his bus and I chase his bus until Lrg 3 Geyland b/stop. Svc 002 no damaged reported and resume service. Svc 033 rear w/screen cracked and RTD after consulted CRS. That's all.","(M) (Y) Collided onto rear of SBS 6601C","","","E47712014","EDBDAM04","31/07/2014 16:07","EDBDAM04","01/10/2014 17:10",""
"201403247","02","SW","15/07/2014 19:07","Q","NAF","218","31/07/2014","2","01/10/2014","218","1","","2","aft bs25.5km,Alexandra road","Alexandra Road","1","1","1","1","11","33","1","3","1","70","54","0","0","0","N","Y","Y","N","Y","","","","","J/2256","26","sbs7377T- advertisement sticker, LHS corner bumper, LHS body panel damged, LHS centre body scratches(JERG) cctv","On a/m date and time, I was travelling along Alexandra Road. A taxi, SHB5847K overtake my bus. I let said taxi pass. Said taxi is now in the bus lane.  Aft passing by bs25.5km, I moved into the right lane because of road works ahead, I proceed straight. Suddenly, when approaching near the road works area, I heard a loud sound from LHS rear. I looked at LHS v/mirror and saw said taxi had side swiped my bus rear. I alighted to check damage. I only took said taxi reg. number as said driver did not want to exchange particulars. I inform OCC. Pax transferred to next bus. I was told to return to JEI to report to RM.I was then told to send bus back to SLBP. No injury. That is all","(M)(N) 3P taxi collided onto rear of bus","BC reported on 17/07/2014","","W47922014","EDBDAM04","31/07/2014 16:07","EDBDAM04","01/10/2014 18:10",""
"201403248","02","SW","15/07/2014 19:07","Q","FAF","118","31/07/2014","2","01/10/2014","118","1","","2","outside sengkang int","sengkang square","1","1","1","1","9","25","2","2","1","70","54","0","0","0","N","Y","Y","N","N","","","","","","26","sbs6239R - rear door lower end glass/panel scratches (SKRG) cctv","I was moving out from interchange when a taxi,SH9787L was stopping at T-junctn of the turning road leaving a gap for my bus to pass. I saw said taxi move forward so I too moved forward when suddenly said taxi stopped causing my bus to grazed said taxi. no injuries. That is all","(M) (Y) Collided onto 3P taxi","Bc reported on 1607/2014","","W49852014","EDBDAM04","31/07/2014 16:07","EDBDAM04","01/10/2014 18:10",""
